date,supplier,total,invoice,notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,ศรีสยาม Due 29/11 - 5/12/2564,92900.81,,โอน 11/1/65,,,,
,ศรีสยาม Due 6 - 12/12/2564,42747.37,,โอน 11/1/65,,,,
,ศรีสยาม Due 13 - 19/12/2564,32044.6,,โอน 20/1/65,,,,
,ศรีสยาม Due 20 - 26/12/2564,21857.53,,โอน 29/1/65,,,,
,ศรีสยาม Due 27/12 - 2/1/2565,-3367.74,,โอน 9/2/65,,,,
,ร้านเจ๊แอน,7750,,โอน 25/12/64,,,,
,ร้านโสภา,5250,,โอน 25/1/65,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2565-01-22,ทาเลนท์อินเตอร์เทรด,10700,IV6501434,โอน 22/4/65,,,,
2565-01-07,ทาเลนท์อินเตอร์เทรด,1016.5,IV6500379,โอน 22/4/65,,,,
2565-01-18,ทาเลนท์อินเตอร์เทรด,8859.6,IV6501154,โอน 22/4/65,,,,
2565-01-11,ออโต้ สมาร์ทเทค,6021.75,202201071,โอน 26/2/65,,,,
2565-01-20,ออโต้ สมาร์ทเทค,9041.5,202201143,โอน 8/3/65,,,,
2565-01-21,ช.ทรัพย์สินไทย,48429.27,IV6501224,โอน 25/3/65,,,,
2565-01-21,ช.ทรัพย์สินไทย,38539.26,IV6501225,โอน 25/3/65,,,,
2565-01-21,ช.ทรัพย์สินไทย,25294.8,IV6501226,โอน 25/3/65,,,,
,ร้านจิตต์ อะไหล่ Due 28/12 - 8/1/2565,18657,,โอน 11/1/65,,,,
,ร้านจิตต์ อะไหล่ Due 10 - 15/1/2565,23859,,โอน 17/1/65,,,,
,ร้านจิตต์ อะไหล่ Due 16 - 22/1/2565,29732,,โอน 24/1/65,,,,
,ร้านจิตต์ อะไหล่ Due 24 - 29/1/2565,34397,,โอน 2/2/65,,,,
,ศรีสยาม Due 3 - 9/1/2565,38579.46,,โอน 9/2/65,,,,
,ศรีสยาม Due 10 - 16/1/2565,107263.33,,โอน 16/2/65,,,,
,ศรีสยาม Due 17 - 23/1/2565,42358.03,,โอน 23/2/65,,,,
,ศรีสยาม Due 24 - 30/1/2565,28483.14,,โอน 7/3/65,,,,
,ร้านเจ๊แอน,6970,,โอน 2/2/65,,,,
,ร้านโสภา,3500,,โอน 3/5/65,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2565-02-02,ทาเลนท์อินเตอร์เทรด,3017.4,IV6502098,โอน 25/5/65,,,,
2565-02-16,ทาเลนท์อินเตอร์เทรด,5519.06,IV6503189,โอน 25/5/65,,,,
2565-02-28,ทาเลนท์อินเตอร์เทรด,4804.3,IV6503899,โอน 25/5/65,,,,
2565-02-11,ไทยนครพัฒนา,405.53,INV22020427,โอน 9/4/65,,,,
2565-02-11,ไทยนครพัฒนา,405.53,INN22020466,โอน 9/4/65,,,,
2565-02-16,ไทยนครพัฒนา,27729.05,INV22020634,โอน 9/4/65,,,,
2565-02-21,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,61632,65/113,โอน 30/4/65,,,,
2565-02-14,ออโต้ สมาร์ทเทค,4708,202202131,โอน 31/3/65,,,,
2565-02-23,ออโต้ สมาร์ทเทค,3287.36,202202199,โอน 9/4/65,,,,
2565-02-22,ช.ทรัพย์สินไทย,23047.8,IV6502260,โอน 20/4/65,,,,
2565-02-22,ช.ทรัพย์สินไทย,41620.86,IV6502258,โอน 20/4/65,,,,
2565-02-22,ช.ทรัพย์สินไทย,28485.54,IV6502259,โอน 20/4/65,,,,
,ร้านจิตต์ อะไหล่ Due 31/1 - 5/2/2565,27488,,โอน 7/2/65,,,,
,ร้านจิตต์ อะไหล่ Due 7 - 12/2/2565,15692,,โอน 14/2/65,,,,
,ร้านจิตต์ อะไหล่ Due 13 - 19/2/2565,19950,,โอน 21/2/65,,,,
,ร้านจิตต์ อะไหล่ Due 21 - 26/2/2565,36193,,โอน 28/2/65,,,,
,ศรีสยาม Due 31/1 - 6/2/2565,52128.47,,โอน 7/3/65,,,,
,ศรีสยาม Due 7 - 13/2/2565,24797.25,,โอน 14/3/65,,,,
,ศรีสยาม Due 14 - 20/2/2565,19115.38,,โอน 22/3/65,,,,
,ศรีสยาม Due 21 - 27/2/2565,45299.88,,โอน 27/3/65,,,,
,ศรีสยาม Due 28/2 - 6/3/2565,42859.68,,โอน 6/4/65,,,,
,ร้านเจ๊แอน,14220,,โอน 1/3/65,,,,
,ร้านโสภา,5600,,โอน 3/5/65,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2565-03-25,ไทยนครพัฒนา,26857,INV22031033,โอน 3/6/65,,,,
2565-03-08,ทาเลนท์อินเตอร์เทรด ,8941.99,IV6504527,โอน 13/6/65,,,,
2565-03-11,ทาเลนท์อินเตอร์เทรด ,6644.7,IV6504806,โอน 13/6/65,,,,
2565-03-12,ทาเลนท์อินเตอร์เทรด ,1391,IV6504851,โอน 13/6/65,,,,
2565-03-26,ทาเลนท์อินเตอร์เทรด ,4665.2,IV6505765,โอน 28/3/65 (กระดาษกาว/จ่ายสด),,,,
2565-03-28,ทาเลนท์อินเตอร์เทรด ,1508.7,IV6505825,โอน 13/6/65,,,,
2565-03-10,ออโต้ สมาร์ทเทค,7522.21,202203091,โอน 25/4/65,,,,
2565-03-28,ออโต้ สมาร์ทเทค,7139.36,202203217,โอน 12/5/65,,,,
2565-03-02,ช.ทรัพย์สินไทย,23574.24,IV6503046,โอน 25/5/65,,,,
2565-03-18,ช.ทรัพย์สินไทย,15051.69,IV6503253,โอน 25/5/65,,,,
2565-03-18,ช.ทรัพย์สินไทย,2824.8,IV6503254,โอน 25/5/65,,,,
2565-03-18,ช.ทรัพย์สินไทย,0,IV6503255,ฟรี,,,,
2565-03-23,ช.ทรัพย์สินไทย,107770.4,IV6503299,โอน 25/5/65,,,,
2565-03-23,ช.ทรัพย์สินไทย,52059.78,IV6503300,โอน 25/5/65,,,,
2565-03-23,ช.ทรัพย์สินไทย,38645.19,IV6503301,โอน 25/5/65,,,,
2565-03-28,ช.ทรัพย์สินไทย,10564.11,IV6503340,โอน 25/5/65,,,,
,ร้านจิตต์ อะไหล่ Due 28/2 - 5/3/2565,24456,,โอน 7/3/65,,,,
,ร้านจิตต์ อะไหล่ Due 7 - 12/3/2565,65379,,โอน 14/3/65,,,,
,ร้านจิตต์ อะไหล่ Due 14 - 19/3/2565,23543,,โอน 21/3/65,,,,
,ร้านจิตต์ อะไหล่ Due 21 - 26/3/2565,43599,,โอน 28/3/65,,,,
,ร้านจิตต์ อะไหล่ Due 28 - 2/4/2565,26013,,โอน 4/4/65,,,,
,ศรีสยาม Due 7 - 13/3/2565,55732.89,,โอน 17/4/65,,,,
,ศรีสยาม Due 14 - 20/3/2565,9460.11,,โอน 21/4/65,,,,
,ศรีสยาม Due 21 - 27/3/2565,57322.68,,โอน 29/4/65,,,,
,ศรีสยาม Due 28/3 - 3/4/2565,24818,,โอน 11/5/65,,,,
,ร้านเจ๊แอน,10600,,โอน 4/4/65,,,,
,ร้านโสภา,4000,,โอน 3/5/65,,,,
2565-03-09,กิ๊บน๊อต / ร้านต้นคิด   ,1500,,โอน 16/5/65,,,,
2565-03-11,กิ๊บน๊อต / ร้านต้นคิด   ,600,,โอน 16/5/65,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
,ร้านจิตต์ อะไหล่ Due 4 - 9/4/2565,7494,,โอน 11/4/65,,,,
,ร้านจิตต์ อะไหล่ Due 18 - 23/4/2565,47304,,โอน 25/4/65,,,,
,ร้านจิตต์ อะไหล่ Due 25/4 - 1/5/2565,28797,,โอน 2/5/65,,,,
2565-04-30,หจก. ไทยออโต้โคท (น้ำยาป้องกันสนิม ออโต้โคท/ทัฟโค้ท สีดำ),6500,217,โอน 30/4/65,,,,
2565-04-20,ทาเลนท์อินเตอร์เทรด ,3354.45,IV6506938,โอน 19/7/65,,,,
2565-04-27,ช.ทรัพย์สินไทย,50355.27,IV6504236,โอน 23/6/65,,,,
2565-04-27,ช.ทรัพย์สินไทย,82432.8,IV6504237,โอน 23/6/65,,,,
2565-04-28,ช.ทรัพย์สินไทย,13546.2,IV6504246,โอน 23/6/65,,,,
,ร้านจิตต์ อะไหล่ Due 4 - 9/4/2565,7494,,โอน 11/4/65,,,,
,ร้านจิตต์ อะไหล่ Due 18 - 23/4/2565,47304,,โอน 25/4/65,,,,
,ร้านจิตต์ อะไหล่ Due 25 - 1/5/2565,28797,,โอน 2/5/65,,,,
,ศรีสยาม Due 4 - 10/4/2565,4507.81,,โอน 11/5/65,,,,
,ศรีสยาม Due 11 - 17/4/2565,3193.17,,โอน 19/5/65,,,,
,ศรีสยาม Due 18 - 24/4/2565,67174.13,,โอน 27/5/65,,,,
,ศรีสยาม Due 25 - 1/5/2565,86966.51,,โอน 3/6/65,,,,
,ร้านเจ๊แอน,11180,,โอน 3/5/65,,,,
,ร้านโสภา,4600,,โอน 4/5/65,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2565-05-24,ทาเลนท์อินเตอร์เทรด ,4665.2,IS1000328,โอน 24/5/65,,,,
2565-05-16,ทาเลนท์อินเตอร์เทรด ,3774.96,IB3000910,โอน 12/8/65,,,,
2565-05-16,ทาเลนท์อินเตอร์เทรด ,770.4,IB3000130,โอน 12/8/65,,,,
2565-05-03,ทาเลนท์อินเตอร์เทรด ,16262.26,IB3000095,โอน 12/8/65,,,,
2565-05-04,ทาเลนท์อินเตอร์เทรด ,4494,IB3000172,โอน 12/8/65,,,,
2565-05-13,ช.ทรัพย์สินไทย,18720.72,IV6505167,โอน 23/7/65,,,,
2565-05-25,ช.ทรัพย์สินไทย,31779,IV6505290,โอน 23/7/65,,,,
2565-05-25,ช.ทรัพย์สินไทย,65358.81,IV6505291,โอน 23/7/65,,,,
2565-05-25,ช.ทรัพย์สินไทย,84572.8,IV6505292,โอน 23/7/65,,,,
2565-05-06,ออโต้ สมาร์ทเทค,13674.71,202205057,โอน 21/6/65,,,,
2565-05-26,ออโต้ สมาร์ทเทค,5189.5,202205231,โอน 12/7/65,,,,
2565-05-03,ไทยนครพัฒนา,23770.05,INV22050028,โอน 12/7/65,,,,
2565-05-20,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,65/PB204,โอน 2/8/65,,,,
,ร้านจิตต์ อะไหล่ Due 2 - 7/5/2565,36120,,โอน 9/5/65,,,,
,ร้านจิตต์ อะไหล่ Due 9 - 14/5/2565,26628.51,,โอน 16/5/65,,,,
,ร้านจิตต์ อะไหล่ Due 16 - 21/5/2565,41516,,โอน 23/5/65,,,,
,ร้านจิตต์ อะไหล่ Due 23 - 28/5/2565,61295.51,,โอน 30/5/65,,,,
,ศรีสยาม Due 2 - 8/5/2565,49508.91,,โอน 13/6/65,,,,
,ศรีสยาม Due 9 - 15/5/2565,105152.4,,โอน 13/6/65,,,,
,ศรีสยาม Due 16 - 22/5/2565,34832.02,,โอน 23/6/65,,,,
,ร้านเจ๊แอน,34550,,โอน 2/6/65,,,,
,ร้านโสภา,3600,,โอน 8/1/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2565-06-13,ไทยนครพัฒนา,22898,INV22060461,โอน 12/8/65,,,,
2565-06-23,ไทยนครพัฒนา,35952,INV22060914,โอน 12/8/65,,,,
2565-06-08,ออโต้เทรด มาร์เก็ตติ้ง,14274.6,IV1417133,โอน 7/6/65,,,,
2565-06-14,ออโต้เทรด มาร์เก็ตติ้ง,14744.6,IV1417481,โอน 20/6/65,,,,
2565-06-07,ทาเลนท์อินเตอร์เทรด ,10533.08,IB3002119,โอน 5/10/65,,,,
2565-06-08,ทาเลนท์อินเตอร์เทรด ,2953.2,IB3002168,โอน 5/10/65,,,,
2565-06-18,ทาเลนท์อินเตอร์เทรด ,11335.58,IB3002779,โอน 5/10/65,,,,
2565-06-21,ทาเลนท์อินเตอร์เทรด ,1071.07,IB3002884,โอน 5/10/65,,,,
2565-06-21,ทาเลนท์อินเตอร์เทรด ,4665.2,IS1000942,โอน 23/6/65,,,,
2565-06-04,ออโต้ สมาร์ทเทค,1926,202206035,โอน 19/7/65,,,,
2565-06-21,ช.ทรัพย์สินไทย,6163.2,IV6506258,โอน 27/8/65,,,,
2565-06-24,ช.ทรัพย์สินไทย,14733.9,IV6506322,โอน 27/8/65,,,,
2565-06-24,ช.ทรัพย์สินไทย,10554.48,IV6506328,โอน 27/8/65,,,,
2565-06-27,ช.ทรัพย์สินไทย,45492.12,IV6506336,โอน 27/8/65,,,,
2565-06-27,ช.ทรัพย์สินไทย,39454.11,IV6506337,โอน 27/8/65,,,,
2565-06-27,ช.ทรัพย์สินไทย,66511.2,IV6506338,โอน 27/8/65,,,,
,ร้านจิตต์ อะไหล่ Due 30/5 - 4/6/2565,56196,,โอน 6/6/65,,,,
,ร้านจิตต์ อะไหล่ Due 6 - 11/6/2565,27491,,โอน 13/6/65,,,,
,ร้านจิตต์ อะไหล่ Due 13 - 18/6/2565,41301,,โอน 20/6/65,,,,
,ร้านจิตต์ อะไหล่ Due 20 - 25/6/2565,46550,,โอน 27/6/65,,,,
,ร้านจิตต์ อะไหล่ Due 27/6 - 2/7/2565,32052,,โอน 4/7/65,,,,
,ศรีสยาม Due 23 - 29/5/2565,23518.47,,โอน 1/7/65,,,,
,ศรีสยาม Due 30/5 - 5/6/2565,60377.15,,โอน 6/7/65,,,,
,ศรีสยาม Due 6 - 12/6/2565,53042.11,,โอน 19/7/65,,,,
,ศรีสยาม Due 13 - 19/6/2565,73699.08,,โอน 19/7/65,,,,
,ศรีสยาม Due 20 - 26/6/2565,83340,,โอน 2/8/65,,,,
,ร้านเจ๊แอน,14390,,โอน 1/7/65,,,,
2565-06-08,กิ๊บน๊อต / ร้านต้นคิด   ,1850,,โอน 18/7/65,,,,
,ร้านโสภา,4000,,โอน 8/1/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2565-07-01,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,65/399,โอน 10/10/65,,,,
2565-07-20,หจก. ไทยออโต้โคท (น้ำยาป้องกันสนิม ออโต้โคท/ทัฟโค้ท สีดำ),6500,224,โอน 20/7/65,,,,
2565-07-20,ออโต้เทรด มาร์เก็ตติ้ง,11308.56,,โอน 22/7/65,,,,
2565-07-01,ทาเลนท์อินเตอร์เทรด ,6409.3,IB3003412,โอน 5/10/65,,,,
2565-07-07,ทาเลนท์อินเตอร์เทรด ,6180.32,IB3003750,โอน 5/10/65,15288.16,,,
2565-07-25,ทาเลนท์อินเตอร์เทรด ,4665.2,IS1001539,โอน 26/7/65,,,,
2565-07-27,ทาเลนท์อินเตอร์เทรด ,2953.2,IV2200950,โอน 5/10/65,ดิวจ่าย 25/10/65,,,
2565-07-02,ทาเลนท์อินเตอร์เทรด -- ใบลดหนี้,-254.66,SR6507002,โอน 5/10/65,,,,
2565-07-16,บจก. วีที คัลเลอร์ โปร,2503.8,IV095-65,โอน 4/9/65,,,,
2565-07-20,บจก. วีที คัลเลอร์ โปร,9758.4,IV099-65,โอน 4/9/65,,,,
2565-07-20,บจก. วีที คัลเลอร์ โปร,9417.18,IV100-65,โอน 4/9/65,,,,
2565-07-21,บจก. วีที คัลเลอร์ โปร,16371,IV101-65,โอน 4/9/65,,,,
2565-07-13,ช.ทรัพย์สินไทย,5842.2,IV6507157,โอน 27/10/65,,,,
2565-07-07,ช.ทรัพย์สินไทย,10005.57,IV6507108,โอน 27/10/65,,,,
,ศรีสยาม Due 27/6 - 3/7/2565,39927.91,,โอน 2/8/65,,,,
,ศรีสยาม Due 4 - 10/7/2565,113005.6,,โอน 11/8/65,,,,
,ศรีสยาม Due 11 - 17/7/2565,36682.93,,โอน 20/8/65,,,,
,ศรีสยาม Due 18 - 24/7/2565,22428.47,,โอน 27/8/65,,,,
,ศรีสยาม Due 25 - 31/7/2565,30281.81,,โอน 2/9/65,,,,
,ร้านจิตต์ อะไหล่ Due 4 - 9/7/2565,58519,,โอน 11/7/65,,,,
,ร้านจิตต์ อะไหล่ Due 11 - 16/7/2565,27762,,โอน 18/7/65,,,,
,ร้านจิตต์ อะไหล่ Due 18 - 23/7/2565,19460,,โอน 25/7/65,,,,
,ร้านจิตต์ อะไหล่ Due 25 - 30/7/2565,29316,,โอน 1/8/65,,,,
,ร้านเจ๊แอน,52240,,โอน 4/8/65,,,,
,ร้านโสภา,4500,,โอน 8/1/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2565-08-01,ทาเลนท์อินเตอร์เทรด ,2551.95,IV2201139,โอน 6/12/65,ดิวจ่าย 30/10/65,,,
2565-08-10,ทาเลนท์อินเตอร์เทรด ,2953.2,IV2201850,โอน 6/12/65,,,,
2565-08-29,ทาเลนท์อินเตอร์เทรด ,2953.2,IV2202823,โอน 6/12/65,,,,
2565-08-25,ทาเลนท์อินเตอร์เทรด ,4665.2,IS1002068,โอน 26/8/65,,,,
2565-08-25,ทาเลนท์อินเตอร์เทรด ,583.15,IV2202681,โอน 6/12/65,,,,
2565-08-02,บจก. วีที คัลเลอร์ โปร,37054.1,IV116-65,โอน 27/10/65,,,,
2565-08-05,บจก. วีที คัลเลอร์ โปร,5885,IV124-65,โอน 27/10/65,,,,
2565-08-24,บจก. วีที คัลเลอร์ โปร,94138.6,IV147-65,โอน 27/10/65,,,,
2565-08-24,บจก. วีที คัลเลอร์ โปร,44191,IV148-65,โอน 27/10/65,,,,
2565-08-26,บจก. วีที คัลเลอร์ โปร,6840.14,IV152-65,โอน 27/10/65,,,,
2565-08-20,ไทยนครพัฒนา,29425,INV22080756,โอน 5/10/65,,,,
,ร้านจิตต์ อะไหล่ Due 1 - 6/8/2565,8083.94,,โอน 8/8/65,,,,
,ร้านจิตต์ อะไหล่ Due 8 - 13/8/2565,25942,,โอน 15/8/65,,,,
,ร้านจิตต์ อะไหล่ Due 15 - 20/8/2565,16506,,โอน 22/8/65,,,,
,ร้านจิตต์ อะไหล่ Due 22 - 27/8/2565,46897,,โอน 29/8/65,,,,
,ศรีสยาม Due 1 - 7/8/2565,31555.69,,โอน 10/9/65,,,,
,ศรีสยาม Due 8 - 14/8/2565,25628.62,,โอน 14/9/65,,,,
,ศรีสยาม Due 15 - 21/8/65,27900.24,,โอน 26/9/65,,,,
,ศรีสยาม Due 22 - 28/8/65,31894.12,,โอน 30/9/65,,,,
,ร้านเจ๊แอน,31020,,โอน 1/9/65,,,,
2565-08-05,กิ๊บน๊อต / ร้านต้นคิด   ,3600,,โอน 21/9/65,,,,
,ร้านโสภา,5460,,โอน 8/1/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2565-09-13,หจก. ไทยออโต้โคท (น้ำยาป้องกันสนิม ออโต้โคท/ทัฟโค้ท สีดำ),6500,230,โอน 13/9/65,,,,
2565-09-09,ทาเลนท์อินเตอร์เทรด ,3178.97,IV2203571,โอน 4/1/66,ลงคอมพ์แล้ว,,,
2565-09-09,ทาเลนท์อินเตอร์เทรด ,2050.12,IV2203592,โอน 4/1/66,,,,
2565-09-10,ทาเลนท์อินเตอร์เทรด ,7412.96,IV2203682,โอน 4/1/66,,,,
2565-09-19,ทาเลนท์อินเตอร์เทรด ,4416.96,IV2204141,โอน 4/1/66,ลงคอมพ์แล้ว,,,
2565-09-20,ทาเลนท์อินเตอร์เทรด ,1232.64,IV2204195,โอน 4/1/66,ลงคอมพ์แล้ว,,,
2565-09-12,ทาเลนท์อินเตอร์เทรด -- ใบลดหนี้,-4665.2,SR6509007,โอน 4/1/66,ลงคอมพ์แล้ว,,,
2565-09-12,ทาเลนท์อินเตอร์เทรด -- ใบลดหนี้,-2332.6,SR6509008,โอน 4/1/66,ลงคอมพ์แล้ว,,,
2565-09-07,บจก. วีที คัลเลอร์ โปร,2942.5,IV166-65,โอน 20/12/65,,,,
2565-09-07,บจก. วีที คัลเลอร์ โปร,21036.2,IV167-65,โอน 20/12/65,,,,
2565-09-20,บจก. วีที คัลเลอร์ โปร,125853.4,IV183-65,โอน 20/12/65,,,,
2565-09-20,บจก. วีที คัลเลอร์ โปร,66714.5,IV184-65,โอน 20/12/65,,,,
2565-09-12,ออโต้เทรด มาร์เก็ตติ้ง,14605.5,,โอน 14/9/65,,,,
2565-09-16,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,65/582,โอน 14/12/65,,,,
,ร้านจิตต์ อะไหล่ Due 29/8 - 3/9/2565,33091,,โอน 5/9/65,,,,
,ร้านจิตต์ อะไหล่ Due 5 - 10/9/2565,36632,,โอน 12/9/65,,,,
,ร้านจิตต์ อะไหล่ Due 12 - 17/9/2565,17796,,โอน 19/9/65,,,,
,ร้านจิตต์ อะไหล่ Due 19 - 24/9/2565,27314,,โอน 26/9/65,,,,
,ร้านจิตต์ อะไหล่ Due 26/9 - 1/10/2565,41010,,โอน 3/10/65,,,,
,ศรีสยาม Due 29/8 - 4/9/65,34272.71,,โอน 8/10/65,,,,
,ศรีสยาม Due 5 - 11/9/65,31403.08,,โอน 12/10/65,,,,
,ศรีสยาม Due 12 - 18/9/65,42262.53,,โอน 18/10/65,,,,
,ศรีสยาม Due 19 - 25/9/65,40901.84,,โอน 27/10/65,,,,
,ร้านเจ๊แอน,27840,,โอน 2/10/65,,,,
,ร้านโสภา,5850,,โอน 8/1/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2565-10-04,ทาเลนท์อินเตอร์เทรด ,7318.8,IV2204973,โอน 7/2/66,,,,
2565-10-05,ทาเลนท์อินเตอร์เทรด ,5906.4,IB3004102,โอน 7/2/66,,,,
2565-10-07,ทาเลนท์อินเตอร์เทรด ,513.6,IB3004247,โอน 7/2/66,,,,
2565-10-07,ทาเลนท์อินเตอร์เทรด ,1738.75,IB3004260,โอน 7/2/66,,,,
2565-10-01,ไทยนครพัฒนา,22309.5,INX00000683,โอน 20/12/65,,,,
2565-10-20,ไทยนครพัฒนา,21041.55,INV22100716,โอน 20/12/65,,,,
2565-10-06,ออโต้เทรด มาร์เก็ตติ้ง,13214.5,,โอน 12/10/65,,,,
2565-10-17,ออโต้เทรด มาร์เก็ตติ้ง,2728.5,IV1422937,โอน 20/10/65,,,,
2565-10-03,บจก. วีที คัลเลอร์ โปร,32891.8,IV198-65,โอน 2/12/65,,,,
2565-10-15,บจก. วีที คัลเลอร์ โปร,24149.9,IV214-65,โอน 2/12/65,,,,
2565-10-25,บจก. วีที คัลเลอร์ โปร,114490,IV227-65,โอน 2/12/65,,,,
2565-10-25,บจก. วีที คัลเลอร์ โปร,65377,IV228-65,โอน 2/12/65,,,,
2565-10-25,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,65/673,โอน 24/1/66,,,,
,ร้านจิตต์ อะไหล่ Due 3 - 8/10/2565,30484.95,,โอน 10/10/65,,,,
,ร้านจิตต์ อะไหล่ Due 10 - 15/10/2565,33543,,โอน 17/10/65,,,,
,ร้านจิตต์ อะไหล่ Due 17 - 22/10/2565,21042,,โอน 24/10/65,,,,
,ร้านจิตต์ อะไหล่ Due 24 - 29/10/2565,32605,,โอน 31/10/65,,,,
,ศรีสยาม Due 26/9 - 2/10/65,55225.1,,โอน 4/11/65,,,,
,ศรีสยาม Due 3 - 9/10/65,52614.9,,โอน 10/11/65,,,,
,ศรีสยาม Due 10 - 16/10/65,51150.22,,โอน 23/11/65,,,,
,ศรีสยาม Due 17 - 23/10/65,71406.36,,โอน 23/11/65,,,,
,ศรีสยาม Due 24 - 30/10/65,47172.21,,โอน 6/12/65,,,,
,ร้านเจ๊แอน,29430,,โอน 2/11/65,,,,
,ร้านโสภา,4100,,โอน 8/1/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2565-11-12,ทาเลนท์อินเตอร์เทรด ,6907.92,IV2206487,โอน 3/3/66,ลงคอมพ์แล้ว,,,
2565-11-23,ทาเลนท์อินเตอร์เทรด ,5598.24,IV2207094,โอน 3/3/66,,,,
2565-11-11,บจก. วีที คัลเลอร์ โปร,25412.5,IV259-65,โอน 2/2/66,,,,
2565-11-15,บจก. วีที คัลเลอร์ โปร,10272,IV261-65,โอน 2/2/66,,,,
2565-11-17,บจก. วีที คัลเลอร์ โปร,11556,IV264-65,โอน 18/11/65 (จ่ายสด),,,,
2565-11-23,บจก. วีที คัลเลอร์ โปร,73402,IV276-65,โอน 2/2/66,,,,
2565-11-23,บจก. วีที คัลเลอร์ โปร,136446.4,IV275-65,โอน 2/2/66,,,,
2565-11-25,บจก. วีที คัลเลอร์ โปร,4226.5,IV283-65,โอน 2/2/66,,,,
2565-11-15,ไทยนครพัฒนา,36583.3,INV22110536,โอน 2/2/66,,,,
,ร้านจิตต์ อะไหล่ Due 31/10 - 5/11/2565,33708,,โอน 7/11/65,,,,
,ร้านจิตต์ อะไหล่ Due 7 - 12/11/2565,34660,,โอน 14/11/65,,,,
,ร้านจิตต์ อะไหล่ Due 14 - 19/11/2565,40007,,โอน 21/11/65,,,,
,ร้านจิตต์ อะไหล่ Due 21 - 26/11/2565,72011,,โอน 28/11/65,,,,
,ศรีสยาม Due 31/10 - 6/11/65,57577,,โอน 6/12/65,,,,
,ศรีสยาม Due 7 - 13/11/65,34920.8,,โอน 20/12/65,,,,
,ศรีสยาม Due 14 - 20/11/65,61788.05,,โอน 20/12/65,,,,
,ศรีสยาม Due 21 - 27/11/65,35933.92,,โอน 4/1/66,,,,
,ร้านเจ๊แอน,24400,,โอน 2/12/65,,,,
,ร้านโสภา ,7000,,โอน 2/7/66,,,,
,ชื่อร้านค้า,ยอดรวม,เลขที่บิล,หมายเหตุ,,,,
2565-12-06,ทาเลนท์อินเตอร์เทรด,15724.72,IV2207853,โอน 3/3/66,,,,
2565-12-14,ห้างหุ้นส่วนจำกัด พี.บี. เพ้นต์,51360,65/800,โอน 3/3/66,,,,
2565-12-08,ออโต้เทรด มาร์เก็ตติ้ง,26810.99,IV1425090,โอน 9/12/65,,,,
2565-12-13,ออโต้เทรด มาร์เก็ตติ้ง,8650.95,IV1425317,โอน 24/12/65,,,,
2565-12-13,บจก. วีที คัลเลอร์ โปร,22791,IV308-65,โอน 3/3/66,,,,
2565-12-19,บจก. วีที คัลเลอร์ โปร,154550.8,IV318-65,โอน 3/3/66,,,,
2565-12-20,บจก. วีที คัลเลอร์ โปร,11067.06,IV322-65,โอน 3/3/66,,,,
2565-12-22,บจก. วีที คัลเลอร์ โปร,9416,IV328-65,โอน 3/3/66,,,,
2565-12-22,ไทยนครพัฒนา,49166.5,INV22120804,โอน 9/3/66,,,,
,ทาเลนท์อินเตอร์เทรด -- ใบลดหนี้ ฟองน้ำขาว 3M 5723 (2อัน),-1562,SR6601006,ทำบิลมา 5/1/66,,,,
,ร้านจิตต์ อะไหล่ Due 28/11 - 3/12/2565,57221,,โอน 6/12/65,,,,
,ร้านจิตต์ อะไหล่ Due 5 - 10/12/2565,39188,,โอน 12/12/65,,,,
,ร้านจิตต์ อะไหล่ Due 12 - 17/12/2565,67381,,โอน 19/12/65,,,,
,ร้านจิตต์ อะไหล่ Due 19 - 24/12/2565,50264,,โอน 26/12/65,,,,
,ร้านจิตต์ อะไหล่ Due 26 - 29/12/2565,13720,,โอน 4/1/66,,,,
,ศรีสยาม Due 28/11 - 4/12/65,49872.26,,โอน 4/1/66,,,,
,ศรีสยาม Due 5 - 11/12/65,71801.2,,โอน 13/1/66,,,,
